Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
395,LINDA'S MARKET,COLUMBUS,2165 COURTRIGHT RD,12,1,0,0,0,0,9,10,0
396,LION'S DEN,COLUMBUS,3586 W DUBLIN GRANVILLE RD,1,2,1,0,0,1,21,5,0
397,LION'S DEN,COLUMBUS,4315 KIMBERLY PKWY,12,2,1,1,0,1,6,10,0
398,LION'S DEN,COLUMBUS,4375 ROBERTS RD,5,3,0,0,0,0,2,1,0
399,LION'S DEN - BEXLEY RETAIL 47 LLC,COLUMBUS,1144 ALUM CREEK DR,14,2,0,0,0,0,4,5,0
400,LION'S DEN - GRANDVIEW RETAIL 58 LLC,COLUMBUS,1055 W FIFTH AVE,8,4,1,0,0,0,3,1,0
401,LIVINGSTON & HAMILTON SHELL,COLUMBUS,4425 E LIVINGSTON AVE,11,4,0,0,0,0,30,1,1
402,LIVINGSTON EXXON,COLUMBUS,2097 E LIVINGSTON AVE,11,2,0,0,0,0,10,5,0
403,LIVINGSTON MARKET,COLUMBUS,1619 E LIVINGSTON AVE,14,5,1,0,0,1,25,1,0
404,LIVINGSTON SHELL,COLUMBUS,1937 E LIVINGSTON AVE,14,3,0,0,0,0,5,1,0
405,LIVINGSTON SUNOCO,COLUMBUS,3172 E LIVINGSTON AVE,11,3,1,0,0,0,25,1,1
406,LK GROCERY LLC / LK NEPALI BAZAAR,BLACKLICK,988-992 N WAGGONER RD,7,2,0,0,0,0,13,5,0
407,LOCKBOURNE FAST MART,COLUMBUS,1333 LOCKBOURNE RD,14,2,1,0,0,0,33,5,1
408,LOCKBOURNE MART,COLUMBUS,1119 LOCKBOURNE RD,14,2,1,0,0,0,9,5,0
409,LOCKBOURNE MOBIL,COLUMBUS,1509 LOCKBOURNE RD,14,5,0,0,0,0,28,1,1
410,LOCKBOURNE SMOKE SHOP,COLUMBUS,1730 LOCKBOURNE RD,14,1,1,1,0,1,1,15,0
411,LOCKBOURNE SUNOCO,COLUMBUS,1711 LOCKBOURNE RD,14,0,0,0,0,0,0,20,1
412,LOUIE'S DRIVE THRU,COLUMBUS,3896 REFUGEE RD,12,1,0,0,0,0,8,10,0
413,M & J CARRYOUT,COLUMBUS,1958 SULLIVANT AVE,10,2,0,0,0,0,19,5,1
414,M & M MARKET & CARRYOUT,COLUMBUS,1596 OAKLAND PARK AVE,6,1,0,0,0,0,3,10,0
415,M & R WINE SHOP,COLUMBUS,1553 E MAIN ST,14,1,0,0,0,0,29,10,1
416,M & S CARRYOUT,COLUMBUS,590 GEORGESVILLE RD,10,5,0,0,0,0,28,1,1
417,M EXPRESS MARKET,COLUMBUS,2305 W BROAD ST,10,5,1,0,0,0,7,1,0
418,MAIZE MARKET,COLUMBUS,3310 MAIZE RD,6,3,1,1,0,1,2,6,0
419,MANGOS,COLUMBUS,21 SMITH PL,9,3,1,0,0,0,6,1,0
420,MANOR CARRYOUT,COLUMBUS,579-81 WEDGEWOOD DR,10,1,1,0,0,0,5,10,0
421,MAPLE MARKET,COLUMBUS,5709 MAPLE CANYON AVE,4,5,3,1,1,1,19,6,0
422,MARATHON,COLUMBUS,1466 S HAMILTON RD,11,4,1,0,0,0,33,1,1
423,MARATHON,COLUMBUS,3464 SULLIVANT AVE,10,4,0,0,0,0,30,1,1
424,MARATHON,COLUMBUS,3760 SNOUFFER RD STE A,1,2,0,0,0,0,13,5,0
425,MARATHON EXPRESS,COLUMBUS,3434 PARSONS AVE,12,1,0,0,0,0,35,10,1
426,MARATHON FOOD MARKET,COLUMBUS,1226 GEORGESVILLE RD,11,5,3,0,1,0,35,1,0
427,MARATHON REFUGEE,CANAL WINCHESTER,6750 REFUGEE RD,12,2,0,0,0,0,31,5,1
