Record ID,Name,City,Name2,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,
PR0039174,BISTA BROTHERS ASIAN GROCERY,COLUMBUS,BISTA BROTHERS ASIAN GROCERY LLC,4625 MAIZE RD,6,5,2,0,0,0,20,1,0,
PR0049780,MAIZE MARKET,COLUMBUS,MAIZE MARKET EXPRESS INC,3310 MAIZE RD,6,3,1,1,0,1,2,6,0,
PR0049512,MOBILE MART,COLUMBUS,AAHIL ALI 786 INC,2835 WESTERVILLE RD,6,5,1,0,0,0,23,1,1,
PR0047578,SOUTH ASIAN BAZAAR,COLUMBUS,SAFAL RETAIL LLC,1995 MORSE RD,6,4,0,0,0,0,31,1,1,
PR0046053,SHELL HUDSON AND I-71,COLUMBUS,ABBAS AZIZI LLC,666 E HUDSON ST,6,5,1,0,0,0,11,1,0,
PR0043264,YBB MARKET,COLUMBUS,UMAR INC,2900 WESTERVILLE RD,6,2,0,0,0,0,1,5,0,
PR0042870,ZACK'S CORNER STOP,COLUMBUS,THREE BROTHERS LLC,1055 E WEBER RD,6,3,1,0,0,0,3,1,0,
PR0041218,KARL ROAD MARKET,COLUMBUS,KMH OH LLC,3663 KARL RD,6,2,1,0,0,0,28,5,1,
PR0041185,HUDSON MARKET,COLUMBUS,ABU-TAHA LLC,1080 E HUDSON ST,6,4,0,0,0,0,24,1,1,
PR0040950,F O E 2252,COLUMBUS,F.O.E. AERIE #2252 LINDEN,3800 WESTERVILLE RD,6,5,3,0,1,0,35,1,0,
PR0040167,DOLLAR GENERAL #3235,COLUMBUS,DOLGEN MIDWEST LLC/OB,1959 MORSE RD,6,2,0,0,0,0,8,5,0,
PR0040138,KROGER N593,COLUMBUS,KROGER CO,1745 MORSE RD,6,1,0,0,0,0,35,10,1,
PR0040096,DOLLAR GENERAL #10722,COLUMBUS,DOLGEN MIDWEST LLC/OB,3350 CLEVELAND AVE STE 1970,6,3,0,0,0,0,10,1,0,
PR0040030,QUICK & EASY MART,COLUMBUS,QUICK & EASY MART INC,4197 CLEVELAND AVE,6,1,0,0,0,0,8,10,0,
PR0040009,SPEEDWAY 5235,COLUMBUS,SPEEDWAY LLC,635 WEBER RD,6,3,0,0,0,0,1,1,0,
PR0039833,SMOKE & CELLULAR EXPRESS,COLUMBUS,KHURAM INC,910 E HUDSON ST,6,3,0,0,0,0,21,1,1,
PR0039769,MCGUFFEY MARKET,COLUMBUS,JUMANAH LLC,1066 E HUDSON ST,6,0,0,0,0,0,0,20,1,
PR0039720,LA MICHOACANA MEXICAN MARKET #1,COLUMBUS,LA MICHOACANA MEXICAN MARKET  LLC,3881 CLEVELAND AVE,6,1,0,0,0,0,4,10,0,
