Facility ID,Name,Site Address,City
209,EV MARKET PLACE,4984-86 GENDER RD,CANAL WINCHESTER
210,EXOTIC PUFF N STUFF,1496 BETHEL RD,COLUMBUS
211,EXPRESS BEVERAGE CENTER,348 WILLIAMS RD,COLUMBUS
212,EXPRESS DRIVE THRU,1320 E HUDSON ST,COLUMBUS
213,EXPRESS DRIVE THRU,1925 LOCKBOURNE RD,COLUMBUS
214,EXPRESS MARKET,900 E 5TH AVE,COLUMBUS
215,F O E 2252,3800 WESTERVILLE RD,COLUMBUS
216,FAMILY CARRYOUT,940 E LIVINGSTON AVE,COLUMBUS
217,FAMILY DOLLAR #28449,2746 BRICE RD,REYNOLDSBURG
218,FAMILY DOLLAR #30064,6480 WINCHESTER PIKE,CANAL WINCHESTER
219,FAMILY DOLLAR #31024,1092 E MAIN ST,COLUMBUS
220,FAMILY DOLLAR #31767,2180 HARRISBURG PIKE,GROVE CITY
221,FAMILY DOLLAR #33958,3307 E BROAD ST,COLUMBUS
222,FAMILY DOLLAR STORE  #21304,629 HARRISBURG PIKE,COLUMBUS
223,FAMILY DOLLAR STORE #20973,2052 LOCKBOURNE RD,COLUMBUS
224,FAMILY DOLLAR STORE #22007,3631 SULLIVANT AVE,COLUMBUS
225,FAMILY DOLLAR STORE #23980,2175 EAKIN RD,COLUMBUS
226,FAMILY DOLLAR STORE #24540,937 E DUBLIN GRANVILLE RD,COLUMBUS
227,FAMILY DOLLAR STORE #24764,2485 E DUBLIN GRANVILLE RD,COLUMBUS
228,FAMILY DOLLAR STORE #25765,2777 SULLIVANT AVE,COLUMBUS
229,FAMILY DOLLAR STORE #26200,5061 ROBERTS RD,COLUMBUS
230,FAMILY DOLLAR STORE #26750,1600 LOCKBOURNE RD,COLUMBUS
231,FAMILY DOLLAR STORE #27108,1159 W BROAD ST,COLUMBUS
232,FAMILY DOLLAR STORE #28375,1792 E DUBLIN GRANVILLE RD,COLUMBUS
233,FAMILY DOLLAR STORE #30095,3619 S HAMILTON RD,COLUMBUS
234,FAMILY DOLLAR STORES #30703,1449 OAKLAND PARK AVE,COLUMBUS
235,FAMILY DOLLAR STORES #32242,1541 SCHROCK RD,COLUMBUS
236,FAMILY DRIVE THRU,1535 E LIVINGSTON AVE,COLUMBUS
237,FARIS GROCERY,1615 E MAIN ST,COLUMBUS
238,FAST MART,3495 PARSONS AVE,COLUMBUS
239,FAST STOP,3245 E BROAD ST,COLUMBUS
240,FIFTH & SUNBURY MARKET,2157 E 5TH AVE,COLUMBUS
241,FINE FAIR FOOD,1547 CLEVELAND AVE,COLUMBUS
242,FINNIGANS DRIVE THRU,2679 INDEPENDENCE VILLAGE CTR,REYNOLDSBURG
243,FIRST TOBACCO DISCOUNTERS,5691 EMPORIUM SQ,COLUMBUS
244,FISHER ROAD BELL STORE #124,5501 FISHER RD,COLUMBUS
245,FIVE BROTHERS MARKET,1230 E LONG ST,COLUMBUS
246,FM MARKET,2007 CLEVELAND AVE,COLUMBUS
247,FOOD MART,1536 W BROAD ST,COLUMBUS
248,FOODMART EXPRESS,2714 SULLIVANT AVE,COLUMBUS
249,FRANKLINTON MARKET,439 W RICH ST,COLUMBUS
250,FRANTZ ROAD MARKET,5744 FRANTZ RD,DUBLIN
251,FYRE FLAME SMOKE SHOP,3192 N HIGH ST,COLUMBUS
252,GALLOWAY WINE AND SPIRITS,950 S GALLOWAY RD,GALLOWAY
253,GAS LITE DRIVE THRU,3446 SULLIVANT AVE,COLUMBUS
254,GATEWAY MART,207 E 11TH AVE,COLUMBUS
255,GEORGESVILLE SHELL,1240 GEORGESVILLE RD,COLUMBUS
256,GET GO #3504,2888 BETHEL RD,COLUMBUS
257,GET GO #3512,2845 N HIGH ST,COLUMBUS
258,GET GO #3513,6825 E BROAD ST,COLUMBUS
259,GET GO #3517,2920 STELZER RD,COLUMBUS
260,GET GO #3528,5465 NEW ALBANY RD W,COLUMBUS
261,GET GO #3529,6780 HAYDEN RUN RD,DUBLIN
262,GET GO #3539,820 W 3RD AVE,COLUMBUS
263,GET N GO DRIVE THRU,3612 LOCKBOURNE RD,COLUMBUS
264,GETGO #3537,3765 S HAMILTON RD,GROVEPORT
265,GIANT EAGLE #6504,4747 SAWMILL RD,COLUMBUS
266,GIANT EAGLE #6512,2801 N HIGH ST,COLUMBUS
267,GIANT EAGLE #6513,6867 E BROAD ST,COLUMBUS
268,GIANT EAGLE #6517,2900 STELZER RD,COLUMBUS
269,GIANT EAGLE #6528,5461 NEW ALBANY RD W,COLUMBUS
270,GIANT EAGLE #6529,6700 HAYDEN RUN RD,HILLIARD
271,GIANT EAGLE #6537,3841 S HAMILTON RD,GROVEPORT
272,GIANT EAGLE #6539,840 W 3RD AVE,COLUMBUS
273,GILLIGAN EXXON/SUBWAY #1003,1866 SUMMIT ST,COLUMBUS
274,GILLIGAN SUBWAY/EXXON #1002,2187 NEIL AVE,COLUMBUS
275,GLEASON MARKET,1004 W RICH ST,COLUMBUS
276,GOLDEN MARKET,2185 W MOUND ST,COLUMBUS
277,GOPUFF,1260 W MOUND ST,COLUMBUS
278,GOPUFF,5235 N HIGH ST,COLUMBUS
279,GRAB N GO MARKET,955 W 5TH AVE STE F,COLUMBUS
280,GRANDVIEW BOTTLE SHOP,1761 W 5TH AVE,COLUMBUS
281,GRANDVIEW CARRYOUT,1355 GRANDVIEW AVE,COLUMBUS
282,GRANDVIEW SUNOCO,648 GRANDVIEW AVE,COLUMBUS
283,GRANNYS MARKET,2211 W BROAD ST,COLUMBUS
284,GREAT MIAMI MARKET,5121 E MAIN ST,COLUMBUS
285,GREAT VAPES,1294 BETHEL RD,COLUMBUS
286,GULF MART,2676 CLEVELAND AVE,COLUMBUS
287,GURU WINES,2285 W DUBLIN GRANVILLE RD STE 117,WORTHINGTON
288,H AND N MARKET,1799 E HUDSON ST,COLUMBUS
289,HALL MARKET,5526 HALL RD,COLUMBUS
290,HALL MART FOOD STORE,1448 COURTRIGHT RD,COLUMBUS
